"BULK REFUND UPLOAD JOB DETAILS"

"Job Id",1
"Job Name","Bulk Refund Update - 1774615720_bulk_refund_template (18).csv"
Progress,99%
Status,PROCESSING
"Started At","2026-03-27 12:48:41"
"Finished At",N/A
Error,None
"Status Info",N/A
"User Name","Merchant A User"


"PROCESSING SUMMARY"
"Total Rows Processed",3
"Successful Updates",2
Errors,1
Skipped,0


"DETAILED PROCESSING RESULTS"
Row,"Transaction ID",Status,Message
2,TXN_TXTJD7CLONY4MKTTCBEL,SUCCESS,"Refund created successfully"
3,TXN_7JITYIFB71PABF1ZLOHN,SUCCESS,"Refund created successfully"
4,TXN_LMKK4QG6TONQ3J5DEQUY,FAILED,"Refund amount exceeds refundable amount. Maximum: 10"
